name;total;year;gender
ALEJANDRO;8147;2002;baby_boy
PABLO;5930;2002;baby_boy
DANIEL;5700;2002;baby_boy
DAVID;5524;2002;baby_boy
ADRIAN;5043;2002;baby_boy
JAVIER;5018;2002;baby_boy
ALVARO;4678;2002;baby_boy
SERGIO;3824;2002;baby_boy
CARLOS;3668;2002;baby_boy
JORGE;2931;2002;baby_boy
MARIO;2918;2002;baby_boy
RAUL;2778;2002;baby_boy
DIEGO;2746;2002;baby_boy
MANUEL;2740;2002;baby_boy
MIGUEL;2684;2002;baby_boy
IVAN;2681;2002;baby_boy
ANTONIO;2561;2002;baby_boy
JUAN;2362;2002;baby_boy
RUBEN;2238;2002;baby_boy
VICTOR;2129;2002;baby_boy
ALBERTO;2017;2002;baby_boy
JESUS;1901;2002;baby_boy
MARC;1886;2002;baby_boy
OSCAR;1858;2002;baby_boy
ANGEL;1790;2002;baby_boy
FRANCISCO;1764;2002;baby_boy
JOSE;1678;2002;baby_boy
ALEX;1643;2002;baby_boy
MARCOS;1600;2002;baby_boy
JAIME;1453;2002;baby_boy
ISMAEL;1402;2002;baby_boy
LUIS;1365;2002;baby_boy
FRANCISCO JAVIER;1317;2002;baby_boy
MIGUEL ANGEL;1316;2002;baby_boy
PEDRO;1291;2002;baby_boy
SAMUEL;1247;2002;baby_boy
CRISTIAN;1220;2002;baby_boy
PAU;1219;2002;baby_boy
ANDRES;1199;2002;baby_boy
IKER;1197;2002;baby_boy
JOSE ANTONIO;1196;2002;baby_boy
GUILLERMO;1178;2002;baby_boy
IGNACIO;1174;2002;baby_boy
RAFAEL;1166;2002;baby_boy
FERNANDO;1158;2002;baby_boy
JOSE MANUEL;1142;2002;baby_boy
NICOLAS;1050;2002;baby_boy
GONZALO;1031;2002;baby_boy
GABRIEL;1026;2002;baby_boy
HUGO;973;2002;baby_boy
JOEL;963;2002;baby_boy
JOAN;947;2002;baby_boy
AARON;915;2002;baby_boy
AITOR;881;2002;baby_boy
POL;874;2002;baby_boy
ENRIQUE;869;2002;baby_boy
EDUARDO;823;2002;baby_boy
JOSE LUIS;811;2002;baby_boy
RODRIGO;795;2002;baby_boy
ARNAU;789;2002;baby_boy
JORDI;779;2002;baby_boy
ROBERTO;767;2002;baby_boy
